Number of anomalies detected: 12

               Date  Anomaly
2020-07-01 04:00:00        1
2020-07-02 04:00:00        1
2020-07-06 04:00:00        1
2020-07-07 04:00:00        1
2020-07-08 04:00:00        1
2020-07-09 04:00:00        1
2020-07-10 04:00:00        1
2020-07-13 04:00:00        1
2020-07-14 04:00:00        1
2020-07-15 04:00:00        1
2020-07-16 04:00:00        1
2020-07-17 04:00:00        1
2020-07-20 04:00:00        1
2020-07-21 04:00:00        1
2020-07-22 04:00:00        1
2020-07-23 04:00:00        1
2020-07-24 04:00:00        1
2020-07-27 04:00:00        1
2020-07-28 04:00:00        1
2020-07-29 04:00:00        1
2020-07-30 04:00:00        1
2020-07-31 04:00:00        1
2020-08-03 04:00:00        1
2020-08-04 04:00:00        1
2020-08-05 04:00:00        1
2020-08-06 04:00:00        1
2020-08-07 04:00:00        1
2020-08-10 04:00:00        1
2020-08-11 04:00:00        1
2020-08-12 04:00:00        1
2020-08-13 04:00:00        1
2020-08-14 04:00:00        1
2020-08-17 04:00:00        1
2020-08-18 04:00:00        1
2020-08-19 04:00:00        1
2020-08-20 04:00:00        1
2020-08-21 04:00:00        1
2020-08-24 04:00:00        1
2020-08-25 04:00:00        1
2020-08-26 04:00:00       -1
2020-08-27 04:00:00        1
2020-08-28 04:00:00        1
2020-08-31 04:00:00        1
2020-09-01 04:00:00        1
2020-09-02 04:00:00        1
2020-09-03 04:00:00        1
2020-09-04 04:00:00        1
2020-09-08 04:00:00        1
2020-09-09 04:00:00        1
2020-09-10 04:00:00        1
2020-09-11 04:00:00        1
2020-09-14 04:00:00        1
2020-09-15 04:00:00        1
2020-09-16 04:00:00        1
2020-09-17 04:00:00        1
2020-09-18 04:00:00        1
2020-09-21 04:00:00        1
2020-09-22 04:00:00        1
2020-09-23 04:00:00        1
2020-09-24 04:00:00        1
2020-09-25 04:00:00        1
2020-09-28 04:00:00        1
2020-09-29 04:00:00        1
2020-09-30 04:00:00        1
2020-10-01 04:00:00        1
2020-10-02 04:00:00        1
2020-10-05 04:00:00        1
2020-10-06 04:00:00        1
2020-10-07 04:00:00        1
2020-10-08 04:00:00        1
2020-10-09 04:00:00        1
2020-10-12 04:00:00        1
2020-10-13 04:00:00        1
2020-10-14 04:00:00        1
2020-10-15 04:00:00        1
2020-10-16 04:00:00        1
2020-10-19 04:00:00        1
2020-10-20 04:00:00        1
2020-10-21 04:00:00        1
2020-10-22 04:00:00        1
2020-10-23 04:00:00        1
2020-10-26 04:00:00        1
2020-10-27 04:00:00        1
2020-10-28 04:00:00        1
2020-10-29 04:00:00        1
2020-10-30 04:00:00        1
2020-11-02 05:00:00        1
2020-11-03 05:00:00        1
2020-11-04 05:00:00        1
2020-11-05 05:00:00        1
2020-11-06 05:00:00        1
2020-11-09 05:00:00        1
2020-11-10 05:00:00        1
2020-11-11 05:00:00        1
2020-11-12 05:00:00        1
2020-11-13 05:00:00        1
2020-11-16 05:00:00        1
2020-11-17 05:00:00        1
2020-11-18 05:00:00        1
2020-11-19 05:00:00        1
2020-11-20 05:00:00        1
2020-11-23 05:00:00        1
2020-11-24 05:00:00        1
2020-11-25 05:00:00        1
2020-11-27 05:00:00        1
2020-11-30 05:00:00        1
2020-12-01 05:00:00        1
2020-12-02 05:00:00        1
2020-12-03 05:00:00        1
2020-12-04 05:00:00        1
2020-12-07 05:00:00        1
2020-12-08 05:00:00        1
2020-12-09 05:00:00        1
2020-12-10 05:00:00        1
2020-12-11 05:00:00        1
2020-12-14 05:00:00        1
2020-12-15 05:00:00        1
2020-12-16 05:00:00        1
2020-12-17 05:00:00        1
2020-12-18 05:00:00        1
2020-12-21 05:00:00        1
2020-12-22 05:00:00        1
2020-12-23 05:00:00        1
2020-12-24 05:00:00        1
2020-12-28 05:00:00        1
2020-12-29 05:00:00        1
2020-12-30 05:00:00        1
2020-12-31 05:00:00        1
2021-01-04 05:00:00        1
2021-01-05 05:00:00        1
2021-01-06 05:00:00        1
2021-01-07 05:00:00        1
2021-01-08 05:00:00        1
2021-01-11 05:00:00        1
2021-01-12 05:00:00        1
2021-01-13 05:00:00        1
2021-01-14 05:00:00        1
2021-01-15 05:00:00        1
2021-01-19 05:00:00        1
2021-01-20 05:00:00        1
2021-01-21 05:00:00        1
2021-01-22 05:00:00        1
2021-01-25 05:00:00        1
2021-01-26 05:00:00        1
2021-01-27 05:00:00        1
2021-01-28 05:00:00        1
2021-01-29 05:00:00        1
2021-02-01 05:00:00        1
2021-02-02 05:00:00        1
2021-02-03 05:00:00        1
2021-02-04 05:00:00        1
2021-02-05 05:00:00        1
2021-02-08 05:00:00        1
2021-02-09 05:00:00        1
2021-02-10 05:00:00        1
2021-02-11 05:00:00        1
2021-02-12 05:00:00        1
2021-02-16 05:00:00        1
2021-02-17 05:00:00        1
2021-02-18 05:00:00        1
2021-02-19 05:00:00        1
2021-02-22 05:00:00        1
2021-02-23 05:00:00        1
2021-02-24 05:00:00        1
2021-02-25 05:00:00        1
2021-02-26 05:00:00        1
2021-03-01 05:00:00        1
2021-03-02 05:00:00        1
2021-03-03 05:00:00        1
2021-03-04 05:00:00        1
2021-03-05 05:00:00        1
2021-03-08 05:00:00        1
2021-03-09 05:00:00        1
2021-03-10 05:00:00        1
2021-03-11 05:00:00        1
2021-03-12 05:00:00        1
2021-03-15 04:00:00        1
2021-03-16 04:00:00        1
2021-03-17 04:00:00        1
2021-03-18 04:00:00        1
2021-03-19 04:00:00        1
2021-03-22 04:00:00        1
2021-03-23 04:00:00        1
2021-03-24 04:00:00        1
2021-03-25 04:00:00        1
2021-03-26 04:00:00        1
2021-03-29 04:00:00        1
2021-03-30 04:00:00        1
2021-03-31 04:00:00        1
2021-04-01 04:00:00        1
2021-04-05 04:00:00        1
2021-04-06 04:00:00        1
2021-04-07 04:00:00        1
2021-04-08 04:00:00        1
2021-04-09 04:00:00        1
2021-04-12 04:00:00        1
2021-04-13 04:00:00        1
2021-04-14 04:00:00        1
2021-04-15 04:00:00        1
2021-04-16 04:00:00        1
2021-04-19 04:00:00        1
2021-04-20 04:00:00        1
2021-04-21 04:00:00        1
2021-04-22 04:00:00        1
2021-04-23 04:00:00        1
2021-04-26 04:00:00        1
2021-04-27 04:00:00        1
2021-04-28 04:00:00        1
2021-04-29 04:00:00        1
2021-04-30 04:00:00        1
2021-05-03 04:00:00        1
2021-05-04 04:00:00        1
2021-05-05 04:00:00        1
2021-05-06 04:00:00        1
2021-05-07 04:00:00        1
2021-05-10 04:00:00        1
2021-05-11 04:00:00        1
2021-05-12 04:00:00        1
2021-05-13 04:00:00        1

Number of anomalies detected: 12
